Date,Event Title
2007-03-04,"Fourteen-year-old English schoolgirl Charlotte Shaw drowned on Dartmoor, becoming the first person to die in connection with the annual Ten Tors challenge."
2007-03-11,Georgian authorities accused Russia of orchestrating a helicopter attack in the Kodori Valley of the breakaway territory of Abkhazia.
2007-04-26,"Controversy surrounding the relocation of the Bronze Soldier of Tallinn, a Soviet Red Army World War II memorial in Tallinn, Estonia, erupted into mass protests and riots."
2007-05-03,"Three-year-old British girl Madeleine McCann disappeared from a holiday apartment in Praia da Luz, Portugal; she has never been found."
2007-05-05,"Kenya Airways Flight 507 crashed immediately after takeoff from Douala International Airport in Cameroon, resulting in the deaths of all 114 people aboard."
2007-06-08,"A major storm caused the bulk carrier Pasha Bulker to run aground in New South Wales, Australia."
2007-06-11,"Mudslides caused by heavy monsoon rainfall and exacerbated by hill cutting killed at least 128 people in Chittagong, Bangladesh."
2007-06-13,"Insurgents carried out a second bombing at the al-Askari Mosque, one of the holiest sites in Shia Islam."
2007-06-27,"As a result of an ongoing conflict between drug dealers and police in the favelas of Rio de Janeiro, a large military and civil police operation killed 19 people and injured several others."
2007-07-12,Two U.S. Army AH-64 Apache helicopters conducted a series of air-to-ground attacks in Baghdad.
2007-07-16,"An earthquake of magnitude .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Mw6.6 struck Niigata Prefecture, Japan, causing a leak of radioactive gases from the Kashiwazaki-Kariwa Nuclear Power Plant."
2007-07-17,"TAM Airlines Flight 3054 overran the runway at Congonhas Airport in São Paulo, Brazil, killing 199 people."
2007-07-21,"Harry Potter and the Deathly Hallows, the final book in the popular Harry Potter series by J. K. Rowling, was released and sold 15 million copies in its first 24 hours, making it the fastest-selling book in history."
2007-07-25,Pratibha Patil (pictured) was sworn in as the first female president of India.
2007-07-25,Pratibha Patil (pictured) was sworn in as the first female president of India.
2007-07-26,"After widespread controversy throughout Wales, Shambo, a black Friesian bull that had been adopted by the local Hindu community, was slaughtered due to concerns about bovine tuberculosis."
2007-07-27,"While covering a police pursuit in Phoenix, Arizona, two news helicopters collided in mid-air, killing both crews."
2007-08-01,"Bridge 9340, carrying Interstate 35W across the Mississippi River in Minneapolis, Minnesota, suffered a catastrophic failure and collapsed, killing 13 people and injuring 145 others."
2007-08-02,"Raúl Iturriaga, a former deputy director of the Chilean secret police, was captured in Viña del Mar after having been on the run following a kidnapping conviction."
2007-08-04,"An airport police officer discovered a suitcase containing approximately US$800,000 as it passed through security at Jorge Newbery Airfield in Buenos Aires, sparking an international scandal involving Venezuela and Argentina."
2007-08-10,"Amid large protests against the impending demolition of the Queen's Pier, in Hong Kong, the High Court dismissed legal attempts to preserve the landmark."
2007-08-14,"Four coordinated suicide bomb attacks detonated in the Yazidi communities of Qahtaniya and Jazeera, Iraq, killing 796 people and wounding 1,562 others."
2007-08-21,"BioShock was released in North America, becoming a critical success and a demonstration of video games as an art form."
2007-08-29,Six nuclear warheads were mistakenly loaded onto a United States Air Force heavy bomber that flew from Minot Air Force Base in North Dakota to Barksdale Air Force Base in Louisiana.
2007-08-30,A heavy bomber that had been unintentionally loaded with nuclear missiles flew them from North Dakota to Louisiana before they were recognized.
2007-09-04,Three terrorists suspected to be part of al-Qaeda were arrested in Germany after planning attacks on Frankfurt Airport and Ramstein Air Base.
2007-09-14,"Late-2000s financial crisis: The Northern Rock bank received a liquidity support facility from the Bank of England, sparking a bank run—the United Kingdom's first in 150 years."
2007-09-16,Seventeen Iraqi civilians were shot and killed by Academi guards in Baghdad.
2007-10-02,South Korean president Roh Moo-hyun walked across the Military Demarcation Line on his way to the second inter-Korean summit with North Korean leader Kim Jong-il.
2007-10-15,"New Zealand Police conducted several anti-terrorism raids in relation to the discovery of an alleged paramilitary training camp in the Urewera mountain ranges, arresting 17 people and seizing four guns and 230 rounds of ammunition."
2007-10-28,"In the Argentine general election, Cristina Fernández de Kirchner became the first woman to be elected president of Argentina."
2007-11-02,"In Tbilisi, Georgia, tens of thousands of people demonstrated  against the allegedly corrupt government of president Mikheil Saakashvili."
2007-11-10,"At the Ibero-American Summit in Santiago, Chile, King Juan Carlos I of Spain asked Venezuelan president Hugo Chávez ""Why don't you shut up?"" after Chávez repeatedly interrupted a speech by Spanish prime minister José Luis Rodríguez Zapatero."
2007-11-23,MS Explorer became the first cruise ship to sink in the Southern Ocean.
2007-11-29,"During their trial for the 2003 Oakwood mutiny, Philippine soldiers led by Senator Antonio Trillanes mutinied and seized a conference room in The Peninsula Manila in Makati."
2007-12-05,"A nineteen-year-old gunman went on a shooting spree at a shopping mall in Omaha, Nebraska, U.S., killing nine people, including himself."
2007-12-20,Pablo Picasso's Portrait of Suzanne Bloch was stolen from the São Paulo Museum of Art before being recovered about three weeks later.
2007-12-25,A tiger at the San Francisco Zoo escaped from its enclosure and attacked three patrons before it was shot and killed.
2007-12-27,"Riots erupted in Mombasa, Kenya, after Mwai Kibaki was declared the winner of the presidential election—the first event in a political, economic, and humanitarian crisis."
2007-12-27,Former prime minister Benazir Bhutto was assassinated while leaving a Pakistan Peoples Party political rally at Liaqat National Bagh in Rawalpindi.
2008-01-05,"Mikheil Saakashvili was decisively re-elected as President of Georgia in ""the first genuinely competitive presidential election"" in the history of the country."
2008-01-30,"The Trump International Hotel and Tower in downtown Chicago opened for business, eleven months before construction would finish."
2008-02-04,"The London low emission zone, governing what types of vehicles may enter Greater London, came into operation."
2008-02-05,"Eighty-seven tornadoes occurred over the course of the Super Tuesday tornado outbreak across multiple U.S. states, causing 56 deaths and over $1 billion in damage."
2008-02-10,"The Namdaemun gate in Seoul, the first of South Korea's National Treasures, was severely damaged by arson."
2008-02-11,"Rebel East Timorese soldiers invaded the homes of President José Ramos-Horta and Prime Minister Xanana Gusmão, seriously wounding the former."
2008-02-14,"A gunman opened fire into a crowded lecture hall at Northern Illinois University in DeKalb, killing five people and injuring twenty-one others."
2008-02-23,A B-2 Spirit stealth bomber crashed on the runway shortly after takeoff from Andersen Air Force Base in Guam in the most expensive crash in U.S. Air Force history.
2008-02-26,"In the first significant cultural visit from the United States to North Korea since the Korean War, the New York Philharmonic Orchestra performed in Pyongyang."
2008-02-29,Belgian author Misha Defonseca admitted that her bestselling memoir about surviving the Holocaust was in fact a literary forgery.
2008-03-10,"The New York Times revealed that Eliot Spitzer (pictured), Governor of New York, had patronized a prostitution ring."
2008-03-19,"The gamma-ray burst GRB 080319B (artist's impression pictured), the farthest object from Earth that was observable by the naked eye, was observed."
2008-03-24,"Led by Jigme Thinley, the Bhutan Peace and Prosperity Party won 45 of 47 seats in the country's first National Assembly election."
2008-04-06,"Egyptian workers staged an illegal general strike, two days before key municipal elections."
2008-04-20,"American racing driver Danica Patrick won the Indy Japan 300, becoming the first woman to win an IndyCar auto race."
2008-04-20,Fernando Lugo became the first candidate not from the Colorado Party candidate to be elected President of Paraguay in 61 years.
2008-04-28,"The 1,388-foot-tall (423.2 m) Trump International Hotel and Tower in Chicago, with the world's highest residence above ground level at the time, held its grand opening."
2008-05-02,The Chaitén volcano in Chile began to erupt for the first time since around 1640.
2008-05-06,"British barrister Mark Saunders was shot dead by police after a five-hour siege at his home in Chelsea, London."
2008-05-12,"In Postville, Iowa, U.S. Immigration and Customs Enforcement conducted the largest-ever raid of a workplace and arrested nearly 400 immigrants for identity theft and document fraud."
2008-05-13,"Nine bombs placed by the Indian Mujahideen, then an unknown terrorist group, exploded in a 15-minute period in Jaipur, India, killing 80 people and injuring more than 200 others."
2008-05-14,"On the day of the UEFA Cup Final, violence erupted between football hooligan supporters of both teams and the Greater Manchester Police, resulting in 39 arrests and 39 injured officers."
2008-05-23,"The International Court of Justice awarded the Middle Rocks to Malaysia and Pedra Branca to Singapore, resolving a 29-year-old territorial dispute in the Singapore Strait."
2008-05-30,"The Convention on Cluster Munitions, prohibiting the use, transfer, and stockpiling of cluster bombs, was adopted."
2008-06-08,"A Japanese man drove a truck into a crowd of pedestrians in Akihabara, Tokyo, and proceeded to stab at least 12 people, killing 7 and wounding 10, before being apprehended."
2008-06-10,War in Afghanistan: A U.S. airstrike resulted in the reported deaths of eleven paramilitary members of the Pakistani Frontier Corps and eight Taliban fighters in Pakistan's tribal areas.
2008-06-10,"Sudan Airways Flight 109 crashed on landing at Khartoum International Airport, killing 30 of the 214 occupants on board."
2008-06-11,Canadian prime minister Stephen Harper apologised to the First Nations for past governments' policies of forced assimilation.
2008-06-27,"Robert Mugabe was re-elected as President of Zimbabwe with an overwhelming majority after his opponent Morgan Tsvangirai withdrew, citing violence against his party's supporters."
2008-07-01,"Rioting erupted in Ulaanbaatar, Mongolia, over allegations of fraud surrounding the recent legislative election."
2008-07-02,"Israeli–Palestinian conflict: An Arab man rammed a loader into traffic in Jerusalem, killing three people and injuring 40 others (damage pictured)."
2008-07-09,"Under the belief that Israel and the United States were planning to attack its nuclear program, Iran conducted the Great Prophet III missile test and war games exercise."
2008-07-16,"A tainted milk powder scandal broke in China which ultimately involved an estimated 300,000 victims, the vast majority infants, with 54,000 hospitalized with kidney problems and 6 deaths."
2008-08-06,Mauritanian President Sidi Mohamed Ould Cheikh Abdallahi was ousted from power by a group of high-ranking generals that he had dismissed from office several hours earlier.
2008-08-08,"A EuroCity train en route to Prague struck a part of a motorway bridge that had fallen onto the track near Studénka station and derailed, killing 8 people and injuring 64 others."
2008-08-09,"A civilian school bus in Dahyan, Yemen, was bombed by Saudi Arabia killing at least 40 children under 15."
2008-08-17,"Michael Phelps won his eighth gold medal of the Beijing Summer Olympics, the most golds by any person at a single games."
2008-08-18,Pakistani president Pervez Musharraf resigned under pressure from a movement to impeach him.
2008-08-20,"Spanair Flight 5022 crashed just after take-off from Madrid's Barajas Airport, killing 154 people."
2008-08-26,"After a ceasefire was reached in the Russo-Georgian War, Russia recognized the independence of Abkhazia and South Ossetia."
2008-09-12,"A Metrolink train collided head-on with a freight train in Los Angeles, California, resulting in 25 deaths and 135 injuries; the Metrolink driver had passed through a red signal, having likely been distracted by text messaging."
2008-09-13,"Five bomb blasts took place in Delhi, India, killing at least 20 people as part of a series of attacks perpetrated by the Indian Mujahideen."
2008-09-15,"Financial crisis of 2007–2008: The global financial services firm Lehman Brothers filed for bankruptcy while holding over $600 billion in assets, the largest such filing in U.S. history."
2008-09-20,"An explosive-laden truck detonated in front of the Marriott hotel in Islamabad, Pakistan, killing 54 people and injuring 266 others."
2008-09-23,"A gunman shot and killed ten students at the Seinäjoki University of Applied Sciences in Kauhajoki, Finland, before committing suicide."
2008-09-26,Swiss pilot and inventor Yves Rossy flew a wingpack powered by jet engines across the English Channel.
2008-10-03,"The Emergency Economic Stabilization Act of 2008, establishing the Troubled Asset Relief Program, commonly referred to as a bailout of the U.S. financial system, was enacted."
2008-10-06,The MESSENGER probe discovered Mercury's Rembrandt (pictured) – the second largest impact crater on the planet.
2008-10-07,"2008 TC3 exploded above the Nubian Desert in Sudan, in the first time that an asteroid impact had been predicted prior to atmospheric entry."
2008-11-02,"At the season-ending Brazilian Grand Prix, Lewis Hamilton (pictured) overtook Timo Glock in the final corners of the race to become World Drivers' Champion by one point."
2008-11-04,Barack Obama (pictured) became the first African American to be elected President of the United States.
2008-11-26,"A coordinated group of shooting and bombing attacks across Mumbai began, ultimately killing at least 174 people and wounding more than 300 others."
2008-12-09,"Governor of Illinois Rod Blagojevich was arrested for a number of corruption crimes, including attempting to sell the U.S. Senate seat that was being vacated by then-President-elect Barack Obama."
2008-12-11,"American stockbroker Bernie Madoff was arrested and charged with securities fraud in a $64.8 billion Ponzi scheme, the largest in history."
2008-12-14,"During a press conference in Baghdad, Iraqi journalist Muntadhar al-Zaidi threw his shoes at U.S. president George W. Bush and Iraqi prime minister Nouri al-Maliki, yelling ""This is for the widows and orphans and all those killed in Iraq""."
2008-12-22,"A dike ruptured at a waste containment area for a coal-fired power plant in Kingston, Tennessee, releasing 1.1 billion gallons (4.2 million m3) of coal fly ash slurry (aftermath pictured) in the largest industrial spill in US history."
2008-12-23,"The Guinean military engineered a coup d'état, announcing that it planned to rule the country for two years prior to a new presidential election."
2008-12-24,"The Lord's Resistance Army, a Ugandan rebel group, began attacks on several villages in the north of the Democratic Republic of the Congo, killing hundreds and committing numerous atrocities."
2008-12-27,"Citing rocket attacks from Palestinian armed groups, Israel launched a surprise attack against the Gaza Strip, opening the three-week Gaza War."
2009-01-02,"Sri Lankan Civil War: The Sri Lankan army captured the town of Kilinochchi from the Liberation Tigers of Tamil Eelam, concluding the Battle of Kilinochchi."
2009-01-03,The cryptocurrency network of bitcoin was created when Satoshi Nakamoto mined the first block of the chain.
2009-01-05,"In Eng Foong Ho v Attorney-General, the Court of Appeal of Singapore held that equality before the law was satisfied by a ""reasonable nexus"" between state action and the object of the law."
2009-01-15,US Airways Flight 1549 struck a flock of Canada geese during its climb out from New York City and made an emergency landing in the Hudson River (featured).
2009-01-20,"During a national financial crisis, thousands of people protested (pictured) at the Icelandic parliament in Reykjavík."
2009-01-20,"In Washington, D.C., Barack Obama was inaugurated (pictured) as the first African American president of the United States."
2009-01-26,"Rioting broke out in Antananarivo, Madagascar, sparking a political crisis that led to the deposal of President Marc Ravalomanana."
2009-01-29,The Supreme Constitutional Court of Egypt ruled that people who did not adhere to one of the three government-recognised religions are also eligible to receive government identity documents.
2009-02-01,Jóhanna Sigurðardóttir (pictured) became the first female prime minister of Iceland.
2009-02-02,"Omid, Iran's first domestically made satellite, was successfully launched from Semnan Space Center."
2009-02-05,The United States Navy guided missile cruiser  Port Royal ran aground (pictured) on a coral reef off the island of Oahu.
2009-02-10,The first accidental hypervelocity collision between two intact satellites in low Earth orbit took place when Iridium 33 and Kosmos 2251 destroyed each other.
2009-02-12,"Just before it was scheduled to land at Buffalo Niagara International Airport, Colgan Air Flight 3407 crashed into a house in Clarence Center, New York, killing the house's occupant and all 49 people on board the aircraft."
2009-02-20,"The Tamil Tigers attempted to crash two aircraft laden with C-4 in suicide attacks on Colombo, Sri Lanka, but the planes were shot down before they reached their targets."
2009-02-25,"At their headquarters in Pilkhana, members of the Bangladesh Rifles began a mutiny that resulted in 82 deaths."
2009-03-04,President Omar al-Bashir of Sudan was indicted by the International Criminal Court on charges of war crimes and crimes against humanity committed during the War in Darfur.
2009-03-07,"Dissident Irish republican campaign: Two off-duty British Army soldiers were shot dead by Real IRA paramilitaries outside Massereene Barracks in Antrim, Northern Ireland."
2009-03-07,"The Kepler space telescope (depicted), designed to discover Earth-like planets orbiting other stars, was launched."
2009-03-11,"A teenage gunman engaged in a shooting spree at a secondary school in Winnenden, Germany, killing 16, including himself."
2009-03-27,"A failure of the dam holding Situ Gintung, an artificial lake in Tangerang, Indonesia, caused floods that killed at least 100 people."
2009-03-30,"The Manawan Police Academy in Lahore, Pakistan, was attacked and held for several hours by 12 gunmen, resulting in 16 deaths and 95 injuries."
2009-04-03,"A gunman opened fire at the American Civic Association in Binghamton, New York, U.S., killing thirteen and wounding four before committing suicide."
2009-04-05,"The North Korean satellite Kwangmyŏngsŏng-2 was launched from the Tonghae Satellite Launching Ground and passed over Japan, sparking concerns it may have been a trial run of technology that could be used to launch intercontinental ballistic missiles."
2009-04-06,Mass protests began across Moldova against the results of the parliamentary election.
2009-04-06,"An earthquake measuring 6.3 Mw struck near L'Aquila in the central Italian region of Abruzzo, killing 308 people and leaving more than 66,000 homeless."
2009-04-23,The gamma-ray burst GRB 090423 was detected coming from the most distant astronomical object of any kind known at the time.
2009-04-30,A Dutch man drove his car at high speed into a parade in an attempt to kill the Dutch royal family.
2009-05-07,"Police in Napier, New Zealand, began a 40-hour siege of the home of a former New Zealand Army member who had shot at officers during the routine execution of a search warrant."
2009-05-18,"The Sri Lanka Army killed Velupillai Prabhakaran, the leader and founder of the Liberation Tigers of Tamil Eelam, to bring an end to the 26-year Sri Lankan Civil War."
2009-05-25,North Korea conducted a nuclear test and several other missile tests that were widely condemned internationally and led to sanctions from the United Nations Security Council.
2009-06-05,"After almost two months of civil disobedience, at least 31 people were killed in clashes between the National Police and indigenous people in Bagua Province, Peru."
2009-06-08,"Two American journalists, having been arrested for illegal entry into North Korea, were sentenced to twelve years hard labor before being pardoned two months later."
2009-06-19,"Mass rioting broke out in Shishou, China, over the dubious circumstances surrounding the death of a local chef."
2009-06-19,"War in Afghanistan: British forces began Operation Panther's Claw, in which more than 350 troops made an aerial assault on Taliban positions in southern Afghanistan."
2009-06-20,"Iranian student Neda Agha-Soltan was shot dead in Tehran during the presidential election protests; footage of her death was widely distributed over the Internet, making it ""probably the most widely witnessed death in human history""."
2009-06-22,"Two Metro trains collided in Washington, D.C., killing nine people and injuring eighty others."
2009-06-25,Singer Michael Jackson (pictured) died as a result of the combination of drugs in his body.
2009-06-30,"Yemenia Flight 626 crashed into the Indian Ocean near the Comoros, killing 152 people, with French schoolgirl Bahia Bakari the sole survivor."
2009-07-05,"The Staffordshire Hoard, the largest collection of Anglo-Saxon gold ever discovered, consisting of more than 1,500 items (examples pictured), was found near Hammerwich in Staffordshire."
2009-07-05,"A series of violent riots broke out in Ürümqi, the capital city of Xinjiang in China."
2009-07-06,Jadranka Kosor (pictured) became the first female prime minister of Croatia.
2009-07-15,"Caspian Airlines Flight 7908 crashed in northwestern Iran, killing all 168 people aboard."
2009-08-01,A shooting at a branch of the Israeli LGBT organization the Aguda in Tel Aviv resulted in two deaths.
2009-08-08,"Nine people died when a tour helicopter and a small private airplane collided over the Hudson River in Hoboken, New Jersey."
2009-08-16,"At the World Championships in Athletics in Berlin, Usain Bolt ran the 100 metres in 9.58 seconds, breaking his own record set a year earlier."
2009-08-27,The Myanmar military junta and ethnic armies began three days of violent clashes in the region of Kokang.
2009-09-28,"A protest held by 50,000 people in Conakry, Guinea, was forcefully disrupted by the military junta, resulting in at least 157 deaths and over 1,200 injuries."
2009-09-30,"A 7.6 MW earthquake struck off the southern coast of Sumatra, Indonesia, killing 1,115 and impacting an estimated 1.2 million people."
2009-11-05,"U.S. Army major Nidal Hasan went on a shooting rampage at Fort Hood, Texas, the worst shooting ever to take place on an American military base, killing 13."
2009-11-10,Ships of the South Korean and North Korean navies skirmished off Daecheong Island in the Yellow Sea.
2009-11-17,Administrators at the University of East Anglia's Climatic Research Unit discovered that their servers had been hacked and thousands of emails and files on climate change had been stolen.
2009-11-21,"An explosion in a coal mine in Heilongjiang, China, killed 108 miners."
2009-11-23,"A crowd of people on their way to register Esmael Mangudadatu's candidacy for governor of Maguindanao, Philippines, were kidnapped and killed by supporters of his rival, resulting in 58 deaths."
2009-11-24,"The Avdhela Project, an Aromanian digital library and cultural initiative, is launched in Bucharest, Romania."
2009-11-27,"A bomb exploded under, and derailed, a Russian high-speed train travelling between Moscow and Saint Petersburg, killing 28 passengers."
2009-11-27,"Lady Gaga performed the first concert of The Monster Ball Tour, which became the highest-grossing tour in history for a debut headlining artist."
2009-12-03,"A suicide bombing in Mogadishu, Somalia, killed 25 people, including three ministers of the Transitional Federal Government."
2009-12-08,Bombings in Baghdad carried out by the Islamic State of Iraq killed at least 127 people and injured at least 448 others.
2009-12-14,"The tino rangatiratanga flag, representing the Māori people, was officially recognized by the government of New Zealand."
2009-12-18,The Copenhagen Summit on climate change ended with the drafting of the non-binding Copenhagen Accord.
2009-12-25,"A fire destroyed Longford's 19th-century St Mel's Cathedral, considered the ""flagship cathedral"" of the Irish midlands."
2009-12-25,"Aboard Northwest Airlines Flight 253, Umar Farouk Abdulmutallab attempted to detonate plastic explosives hidden in his underwear."
2009-12-28,Tibetan dissident filmmaker Dhondup Wangchen was imprisoned for subversion by Chinese authorities after a secret trial.
2009-12-28,"A suicide bomber attacked a Shia procession commemorating the day of Ashura in Karachi, Pakistan, causing 43 deaths."
2009-12-30,Pro-government counter-demonstrators held rallies in several Iranian cities in response to recent anti-government protests on the holy day of Ashura.
2009-12-30,"Due to a rupture of the Lanzhou–Zhengzhou–Changsha pipeline in Shaanxi, China, caused approximately 150,000 l (40,000 US gal) of diesel oil flowed down the Wei River before finally reaching the Yellow River six days later."
2010-01-01,A suicide bomber killed 105 spectators at a volleyball game in the Lakki Marwat District of Pakistan.
2010-01-04,"The Burj Khalifa, the world's tallest structure, officially opened in Dubai."
2010-01-07,"In Nag Hammadi, Egypt, Muslim gunmen opened fire on a crowd of Coptic Christians leaving church after attending Christmas Liturgy, killing eight of them, as well as one Muslim bystander."
2010-01-08,"Gunmen from an offshoot of the Front for the Liberation of the Enclave of Cabinda attacked the bus transporting the Togo national football team to the Africa Cup of Nations in Angola, killing three people."
2010-01-12,"An earthquake registering 7.0 Mw struck Haiti, killing more than 100,000 people."
2010-01-12,"Iranian physicist Massoud Ali-Mohammadi was assassinated while leaving his home for the University of Tehran, where he was a professor."
2010-01-17,"The first spate of violence between Muslims and Christians began in Jos, Nigeria, and would end in more than 200 deaths."
2010-01-25,"Avatar, a science-fiction film directed by James Cameron, becomes the highest-grossing film of all time."
2010-01-25,"Ethiopian Airlines Flight 409, en route to Addis Ababa, crashed into the Mediterranean Sea shortly after takeoff from Beirut, Lebanon, killing all 90 people on board."
2010-01-27,"Porfirio Lobo Sosa became the new president of Honduras, ending a constitutional crisis that had begun in 2009 when Manuel Zelaya was forcibly removed from office."
2010-02-03,"An edition of L'Homme qui marche I, a bronze sculpture by Swiss sculptor Alberto Giacometti, was sold for £65 million, setting the record for the most expensive sculpture sold at auction."
2010-02-08,"A freak storm triggered a series of avalanches that buried more than 3.5 km (2.2 mi) of road near the Salang Tunnel in Afghanistan, killing 175 people and trapping more than 2,500 travellers."
2010-02-13,"A terrorist bombing at a bakery popular among foreigners in Pune, India, killed 17 people and injured 60 others."
2010-02-15,"Two passenger trains collided in Halle, Belgium, when one driver failed to stop at a red signal, resulting in 19 deaths and 171 injuries."
2010-02-18,WikiLeaks published the first of hundreds of thousands of classified documents disclosed by Chelsea Manning.
2010-02-18,"In a coup d'état, military rebels attacked the presidential palace in Niamey, Niger, and replaced President Mamadou Tandja with a ruling junta, the Supreme Council for the Restoration of Democracy."
2010-02-20,"Severe flooding and mudslides on the island of Madeira, Portugal, killed 51 people."
2010-03-11,"During the inauguration of Chilean president Sebastián Piñera, earthquakes registering 6.9 and 7.0 .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Mw struck the O'Higgins Region near the city of Pichilemu, causing widespread damage."
2010-03-26,"An explosion, allegedly caused by a North Korean torpedo, sank the South Korean warship ROKS Cheonan near Baengnyeongdo in the Yellow Sea, killing 46 sailors."
2010-03-29,"Islamist separatists of the Caucasus Emirate detonated two bombs on the Moscow Metro, killing 40 people and injuring 102 others."
2010-04-03,"Apple Inc. released the first generation iPad, a tablet computer."
2010-04-05,An explosion at a coal mine in West Virginia killed 29 miners in the United States' worst mining disaster in 40 years.
2010-04-06,"Naxalite–Maoist insurgency: Insurgents from the Communist Party of India (Maoist) ambushed a Central Reserve Police Force convoy in Dantewada district, India, killing 76 officers."
2010-04-20,"An explosion on Deepwater Horizon, an offshore rig in the Gulf of Mexico, resulted in the largest marine oil spill in history."
2010-04-21,"Ukraine and Russia signed the Kharkiv Pact, extending the Russian lease on naval facilities in Crimea."
2010-04-23,"Arizona governor Jan Brewer signed into law the controversial anti–illegal immigration bill SB 1070, much of which was later struck down by the U.S. Supreme Court."
2010-05-06,"Exacerbated by high-frequency traders using strategies that have since been banned, major U.S. stock indices dropped nearly 9 percent and quickly rebounded."
2010-05-07,"A draft sequence of the Neanderthal genome was published, demonstrating that today's humans have Neanderthal ancestors."
2010-05-11,David Cameron took office as Prime Minister of the United Kingdom as the Conservatives and Liberal Democrats formed the country's first coalition government since the Second World War.
2010-05-11,Gordon Brown resigned as Prime Minister of the United Kingdom and Leader of the Labour Party after failing to strike a coalition agreement with the Liberal Democrats.
2010-05-15,"Three days before her seventeenth birthday, Jessica Watson arrived in Sydney after sailing non-stop and unassisted around the world."
2010-05-19,"In Bangkok, the Thai military (pictured) concluded a week-long crackdown on widespread protests by forcing the surrender of opposition leaders."
2010-05-22,"Upon landing in Mangalore, Air India Express Flight 812 overshot the runway and fell down a hillside, killing 158 of the 166 people on board."
2010-05-28,"A train derailment and collision in the West Midnapore district of West Bengal, India, caused the deaths of at least 148 passengers."
2010-06-02,"A gunman carried out a shooting spree in Cumbria, England, killing 12 people and injuring 11 others before committing suicide."
2010-06-09,"A child suicide bomber attacked a wedding in Nadahan, Afghanistan, killing at least 40 people and injuring at least 70 others."
2010-06-12,Sixteen-year-old Abby Sunderland was rescued after her boat was dismasted in the Indian Ocean while trying to become the youngest sailor around the world.
2010-06-19,"The royal wedding of Victoria, Crown Princess of Sweden, and Daniel Westling took place in Stockholm Cathedral."
2010-06-24,"John Isner defeated Nicolas Mahut at the Wimbledon Championships, concluding the longest match in tennis history, which lasted 11 hours and 5 minutes over three days."
2010-06-24,Julia Gillard (pictured) was sworn in as the first female prime minister of Australia after incumbent Kevin Rudd declined to contest a leadership spill in the Labor Party.
2010-07-11,"The Islamist militia group Al-Shabaab carried out multiple suicide bombings in Kampala, Uganda, killing 74 people and injuring 85 others."
2010-07-25,"WikiLeaks published 75,000 classified documents about the War in Afghanistan in one of the largest leaks in U.S. military history."
2010-07-27,"Police in Tokyo found the mummified remains of Sogen Kato, thought to have died in 1978, leading to widespread inquiries into the status of isolated elderly people in Japan."
2010-08-06,"Flash floods, mudslides, and debris flows across the Ladakh region of Indian-administered Kashmir left at least 255 people dead."
2010-08-08,"A massive mudslide in Zhouqu County in the Chinese province of Gansu killed at least 1,471 people."
2010-08-13,"After being boarded by Canadian authorities, MV Sun Sea docked in British Columbia and the 492 Sri Lankan Tamil refugee claimants on board were placed into detention."
2010-08-14,The inaugural edition of the Youth Olympic Games opened in Singapore for athletes aged between 14 and 18.
2010-08-23,"A former Philippine National Police officer hijacked a tourist bus in Manila, holding its occupants hostage for nearly eleven hours and killing eight of them before being killed by police himself."
2010-09-04,"A magnitude-7.1 earthquake (damage pictured) struck the Canterbury Region of New Zealand, causing two deaths and up to NZ$40 billion in damages."
2010-09-07,"A Chinese fishing trawler operating in disputed waters collided with Japan Coast Guard patrol boats near the Senkaku Islands, sparking a major diplomatic dispute between the two countries."
2010-09-07,"A Chinese fishing trawler operating in disputed waters collided with Japan Coast Guard patrol boats near the Senkaku Islands, sparking a major diplomatic dispute between the two countries."
2010-09-09,"A natural-gas pipeline in San Bruno, California, exploded and ""shot a fireball more than 1,000 feet (300 m) in the air"", killing eight people."
2010-09-23,"Teresa Lewis became the first woman to be executed by the U.S. state of Virginia since 1912, and the first woman in the state to be executed via lethal injection."
2010-09-23,"Teresa Lewis became the first woman to be executed by the U.S. state of Virginia since 1912, and the first woman in the state to be executed by lethal injection."
2010-09-26,"Scottish aid worker Linda Norgrove and three Afghan colleagues were kidnapped by members of the Taliban in Kunar Province, Afghanistan."
2010-10-06,The first version of the Instagram mobile application was released for iOS devices.
2010-10-25,"Mount Merapi in Central Java, Indonesia, began an increasingly violent series of eruptions that lasted over a month."
2010-11-04,"In the first aviation incident involving an Airbus A380, Qantas Flight 32 suffered an uncontained engine failure and made an emergency landing at Changi Airport in Singapore with no casualties."
2010-11-14,"Red Bull Racing's Sebastian Vettel won the Drivers' Championship after winning the final race of the season, becoming the youngest Formula One champion."
2010-11-19,The first of four explosions occurred at the Pike River Mine in the West Coast in New Zealand's worst mining disaster in nearly a century.
2010-12-08,"The Japanese experimental spacecraft IKAROS (model pictured) flew by Venus at a distance of 80,800 km (50,200 mi), completing its planned mission to demonstrate solar-sail technology."
2010-12-17,"Arab Spring: Mohamed Bouazizi, a Tunisian street vendor, set himself on fire in protest against police harassment, triggering the Tunisian revolution."
2010-12-22,"The United States repealed its controversial ""don't ask, don't tell"" policy on gay, lesbian and bisexual people in the military."
2011-01-01,"A suicide bombing took place outside a Coptic Orthodox Church in Alexandria, Egypt, following a New Year service, killing 23 people."
